src_port,ground_truth,sampled,scaled
10379,1000,105,1050
10422,1000,93,930
10411,1000,95,950
10434,1000,103,1030
10767,1000,91,910
10446,1000,96,960
10769,1000,97,970
10804,1000,110,1100
10783,1000,95,950
10837,1000,115,1150
10838,1000,93,930
10845,1000,99,990
10877,1000,96,960
10867,1000,113,1130
10879,1000,105,1050
10886,1000,90,900
10881,1000,97,970
10887,1000,88,880
10931,1000,108,1080
10932,1000,88,880
10959,1000,104,1040
10939,1000,106,1060
10977,1000,97,970
10000,1000,94,940
10985,1000,105,1050
10005,1000,114,1140
10116,1000,113,1130
10069,1000,109,1090
10119,1000,108,1080
10139,1000,94,940
10149,1000,100,1000
10147,1000,104,1040
10154,1000,107,1070
10169,1000,104,1040
10172,1000,107,1070
10199,1000,91,910
10178,1000,93,930
10207,1000,100,1000
10220,1000,94,940
10211,1000,123,1230
10227,1000,102,1020
10250,1000,100,1000
10253,1000,112,1120
10271,1000,99,990
10260,1000,101,1010
10283,1000,88,880
10303,1000,102,1020
10302,1000,106,1060
10323,1000,84,840
10348,1000,101,1010
10363,1000,95,950
10397,1000,84,840
10372,1000,106,1060
10413,1000,99,990
10415,1000,101,1010
10424,1000,97,970
10465,1000,87,870
10447,1000,90,900
10504,1000,108,1080
10555,1000,91,910
10520,1000,107,1070
10873,1000,94,940
10901,1000,111,1110
10904,1000,114,1140
10919,1000,109,1090
10980,1000,98,980
10995,1000,111,1110
10988,1000,94,940
10012,1000,96,960
10020,1000,101,1010
10019,1000,107,1070
10025,1000,97,970
10027,1000,85,850
10026,1000,112,1120
10028,1000,105,1050
10033,1000,107,1070
10037,1000,114,1140
10045,1000,108,1080
10054,1000,108,1080
10062,1000,116,1160
10071,1000,92,920
10070,1000,99,990
10082,1000,96,960
10088,1000,114,1140
10099,1000,98,980
10122,1000,90,900
10125,1000,97,970
10151,1000,79,790
10137,1000,101,1010
10158,1000,91,910
10160,1000,101,1010
10162,1000,107,1070
10167,1000,109,1090
10182,1000,108,1080
10185,1000,114,1140
10193,1000,85,850
10218,1000,104,1040
10196,1000,108,1080
10235,1000,87,870
10236,1000,107,1070
10239,1000,83,830
10252,1000,100,1000
10256,1000,94,940
10259,1000,105,1050
10265,1000,99,990
10305,1000,86,860
10293,1000,96,960
10319,1000,80,800
10353,1000,108,1080
10380,1000,99,990
10385,1000,91,910
10388,1000,95,950
10406,1000,97,970
10410,1000,94,940
10418,1000,99,990
10426,1000,85,850
10461,1000,115,1150
10748,1000,92,920
10758,1000,82,820
10764,1000,103,1030
10775,1000,105,1050
10808,1000,102,1020
10816,1000,88,880
10827,1000,120,1200
10830,1000,97,970
10843,1000,108,1080
10856,1000,123,1230
10862,1000,116,1160
10874,1000,106,1060
10875,1000,94,940
10880,1000,90,900
10910,1000,99,990
10913,1000,96,960
10921,1000,112,1120
10941,1000,95,950
10944,1000,110,1100
10945,1000,90,900
10946,1000,89,890
10949,1000,105,1050
10975,1000,86,860
10984,1000,114,1140
10987,1000,96,960
10992,1000,94,940
10015,1000,108,1080
10047,1000,91,910
10060,1000,123,1230
10064,1000,108,1080
10067,1000,111,1110
10073,1000,110,1100
10085,1000,97,970
10091,1000,82,820
10098,1000,101,1010
10100,1000,107,1070
10117,1000,96,960
10120,1000,87,870
10121,1000,85,850
10124,1000,93,930
10126,1000,117,1170
10135,1000,82,820
10146,1000,111,1110
10153,1000,89,890
10159,1000,93,930
10170,1000,115,1150
10171,1000,93,930
10179,1000,92,920
10194,1000,90,900
10198,1000,95,950
10215,1000,104,1040
10248,1000,86,860
10262,1000,110,1100
10264,1000,103,1030
10267,1000,93,930
10269,1000,94,940
10668,1000,96,960
10677,1000,110,1100
10683,1000,105,1050
10691,1000,104,1040
10696,1000,121,1210
10701,1000,101,1010
10703,1000,94,940
10705,1000,106,1060
10719,1000,105,1050
10736,1000,114,1140
10741,1000,104,1040
10742,1000,97,970
10749,1000,108,1080
10754,1000,98,980
10757,1000,101,1010
10777,1000,97,970
10778,1000,94,940
10791,1000,94,940
10798,1000,99,990
10807,1000,113,1130
10809,1000,99,990
10813,1000,75,750
10818,1000,113,1130
10819,1000,106,1060
10824,1000,103,1030
10835,1000,86,860
10841,1000,96,960
10847,1000,96,960
10866,1000,110,1100
10891,1000,109,1090
10894,1000,100,1000
10933,1000,103,1030
10950,1000,91,910
10955,1000,117,1170
10956,1000,112,1120
10965,1000,117,1170
10966,1000,97,970
10997,1000,105,1050
